time	x_norm	y_norm	confidence
0.000000	1.000	0.486	0.0
0.010080	1.000	0.486	0.0
0.020160	1.000	0.486	0.0
0.030240	1.000	0.486	0.0
0.040320	1.000	0.486	0.0
0.050400	1.000	0.486	0.0
0.060480	1.000	0.486	0.0
0.070560	0.999	0.485	0.0
0.080640	0.999	0.485	0.0
0.090720	0.999	0.485	0.0
0.100800	0.999	0.485	0.0
0.110880	0.999	0.485	0.0
0.120960	0.999	0.485	0.0
0.131040	0.999	0.485	0.0
0.141120	0.999	0.484	0.0
0.151200	0.999	0.484	0.0
0.161280	0.999	0.484	0.0
0.171360	0.999	0.484	0.0
0.181440	0.999	0.484	0.0
0.191520	0.999	0.484	0.0
0.201600	0.999	0.483	0.0
0.211680	0.999	0.483	0.0
0.221760	0.999	0.483	0.0
0.231840	0.999	0.483	0.0
0.241920	0.998	0.483	0.0
0.252000	0.998	0.483	0.0
0.262080	0.998	0.483	0.0
0.272160	0.997	0.484	0.0
0.282240	0.997	0.484	0.0
0.292320	0.997	0.484	0.0
0.302400	0.997	0.485	0.0
0.312480	0.997	0.485	0.0
0.322560	0.997	0.485	0.0
0.332640	0.997	0.486	0.0
0.342720	0.997	0.486	0.0
0.352800	0.997	0.486	0.0
0.362880	0.997	0.486	0.0
0.372960	0.998	0.486	0.0
0.383040	0.998	0.486	0.0
0.393120	0.998	0.486	0.0
0.403200	0.998	0.486	0.0
0.413280	0.998	0.486	0.0
0.423360	0.998	0.486	0.0
0.433440	0.998	0.485	0.0
0.443520	0.998	0.485	0.0
0.453600	0.998	0.485	0.0
0.463680	0.998	0.485	0.0
0.473760	0.998	0.484	0.0
0.483840	0.998	0.484	0.0
0.493920	0.998	0.484	0.0
0.504000	0.998	0.483	0.0
0.514080	0.998	0.483	0.0
0.524160	0.998	0.483	0.0
0.534240	0.998	0.482	0.0
0.544320	0.998	0.482	0.0
0.554400	0.998	0.482	0.0
0.564480	0.998	0.482	0.0
0.574560	0.998	0.481	0.0
0.584640	0.998	0.481	0.0
0.594720	0.998	0.481	0.0
0.604800	0.998	0.480	0.0
0.614880	0.998	0.480	0.0
0.624960	0.998	0.480	0.0
0.635040	0.998	0.480	0.0
0.645120	0.998	0.480	0.0
0.655200	0.998	0.480	0.0
0.665280	0.998	0.479	0.0
0.675360	0.998	0.479	0.0
0.685440	0.998	0.479	0.0
0.695520	0.998	0.479	0.0
0.705600	0.998	0.478	0.0
0.715680	0.998	0.478	0.0
0.725760	0.998	0.478	0.0
0.735840	0.998	0.477	0.0
0.745920	0.998	0.477	0.0
0.756000	0.998	0.477	0.0
0.766080	0.998	0.476	0.0
0.776160	0.998	0.476	0.0
0.786240	0.998	0.476	0.0
0.796320	0.998	0.476	0.0
0.806400	0.998	0.476	0.0
0.816480	0.998	0.476	0.0
0.826560	0.998	0.476	0.0
0.836640	0.998	0.475	0.0
0.846720	0.998	0.475	0.0
0.856800	1.403	1.114	0.98999999999999999
0.866880	1.403	1.082	1.0
0.876960	1.404	1.065	1.0
0.887040	1.406	1.068	1.0
0.897120	1.407	1.076	1.0
0.907200	1.409	1.072	1.0
0.917280	1.409	1.075	1.0
0.927360	1.412	1.074	1.0
0.937440	0.996	0.473	0.0
0.947520	1.415	1.071	0.98999999999999999
0.957600	1.419	1.049	1.0
0.967680	1.437	0.958	1.0
0.977760	1.443	0.877	1.0
0.987840	1.426	0.791	0.6299786487761927
0.997920	1.441	0.732	0.70460689576374413
1.008000	0.993	0.470	0.0
1.018080	1.431	0.552	0.73612623004511346
1.028160	1.411	0.489	0.62972944068851644
1.038240	0.992	0.469	0.0
1.048320	1.387	0.348	0.98999999999999999
1.058400	1.370	0.263	0.67162361058339481
1.068480	1.357	0.178	0.70010204164970069
1.078560	0.992	0.469	0.0
1.088640	1.319	0.024	0.73313035228053314
1.098720	1.302	-0.046	0.55090849063609804
1.108800	0.992	0.468	0.0
1.118880	1.257	-0.199	0.62279286149468038
1.128960	1.243	-0.235	1.0
1.139040	1.219	-0.272	0.93450024423317923
1.149120	1.200	-0.310	0.94891324788864639
1.159200	1.183	-0.354	0.86802121153275424
1.169280	1.159	-0.408	0.79152750657398163
1.179360	1.148	-0.447	0.89671656548895351
1.189440	1.112	-0.501	0.74121250188501731
1.199520	1.102	-0.520	0.85866813534725506
1.209600	1.075	-0.570	0.71032797417151761
1.219680	1.037	-0.629	0.83224244832738825
1.229760	1.011	-0.676	0.85208597917863005
1.239840	0.994	-0.683	0.93490190124356387
1.249920	0.983	-0.688	0.95662796186895638
1.260000	0.972	-0.694	1.0
1.270080	0.975	-0.690	1.0
1.280160	0.974	-0.682	1.0
1.290240	0.977	-0.673	1.0
1.300320	0.971	-0.683	1.0
1.310400	0.967	-0.682	1.0
1.320480	0.966	-0.677	1.0
1.330560	0.967	-0.676	1.0
1.340640	0.967	-0.680	1.0
1.350720	0.971	-0.675	1.0
1.360800	0.967	-0.674	1.0
1.370880	0.969	-0.665	1.0
1.380960	0.969	-0.661	1.0
1.391040	0.969	-0.654	1.0
1.401120	0.972	-0.659	1.0
1.411200	0.975	-0.643	1.0
1.421280	0.976	-0.644	1.0
1.431360	0.979	-0.641	1.0
1.441440	0.982	-0.629	1.0
