time	x_norm	y_norm	confidence
0.000000	11.920	10.402	0.0
0.010463	1.541	4.004	1.0
0.020926	1.569	4.076	1.0
0.031389	1.541	3.988	1.0
0.041852	1.549	4.011	1.0
0.052315	1.550	4.022	1.0
0.062778	1.541	3.994	1.0
0.073241	1.537	3.986	1.0
0.083704	1.539	3.990	1.0
0.094167	1.473	3.863	1.0
0.104630	1.481	3.899	1.0
0.115093	1.477	3.879	1.0
0.125556	1.475	3.899	1.0
0.136019	1.511	3.960	1.0
0.146482	1.513	3.969	1.0
0.156946	1.531	3.995	1.0
0.167409	1.542	4.021	1.0
0.177872	1.555	4.062	1.0
0.188335	1.554	4.051	1.0
0.198798	1.557	4.064	1.0
0.209261	1.792	4.524	1.0
0.219724	4.990	10.011	0.98999999999999999
0.230187	6.677	11.609	1.0
0.240650	7.387	12.256	1.0
0.251113	7.446	12.283	1.0
0.261576	7.421	12.228	1.0
0.272039	8.054	12.146	1.0
0.282502	9.071	11.591	1.0
0.292965	9.053	11.601	1.0
0.303428	9.814	11.292	1.0
0.313891	10.328	11.018	1.0
0.324354	10.913	10.706	1.0
0.334817	11.768	10.234	1.0
0.345280	11.768	10.234	1.0
0.355743	11.768	10.234	1.0
0.366206	11.843	10.298	1.0
0.376669	11.843	10.298	1.0
0.387132	11.843	10.298	1.0
0.397595	11.765	10.233	1.0
0.408058	11.765	10.233	0.98999999999999999
0.418522	11.765	10.233	0.98999999999999999
0.428985	5.283	-2.793	0.0
0.439448	5.283	-2.793	0.0
0.449911	5.283	-2.793	0.0
0.460374	5.283	-2.793	0.0
0.470837	-13.954	17.645	1.0
0.481300	-14.483	18.249	1.0
0.491763	-14.265	18.034	1.0
0.502226	-14.530	18.333	1.0
0.512689	0.240	0.606	1.0
0.523152	0.239	0.605	1.0
0.533615	0.238	0.604	1.0
0.544078	0.239	0.607	1.0
0.554541	0.237	0.611	1.0
0.565004	0.238	0.612	1.0
0.575467	0.236	0.610	1.0
0.585930	0.236	0.611	1.0
0.596393	0.236	0.608	1.0
0.606856	0.236	0.611	1.0
0.617319	0.237	0.612	1.0
0.627782	0.237	0.612	1.0
0.638245	0.239	0.610	1.0
0.648708	0.238	0.610	1.0
0.659171	0.238	0.611	1.0
0.669634	0.238	0.612	1.0
0.680098	0.238	0.614	1.0
0.690561	0.238	0.615	1.0
0.701024	0.238	0.614	1.0
0.711487	0.238	0.614	1.0
0.721950	0.238	0.614	1.0
0.732413	0.235	0.613	1.0
0.742876	0.236	0.611	1.0
0.753339	0.237	0.612	1.0
0.763802	0.255	0.606	1.0
0.774265	0.328	0.597	0.98999999999999999
0.784728	0.356	0.589	1.0
0.795191	0.356	0.590	1.0
0.805654	0.357	0.592	1.0
0.816117	0.357	0.591	1.0
0.826580	0.356	0.591	1.0
0.837043	0.357	0.593	1.0
0.847506	0.357	0.594	1.0
0.857969	0.357	0.595	1.0
0.868432	0.357	0.596	1.0
0.878895	0.356	0.596	1.0
0.889358	0.357	0.598	1.0
0.899821	0.356	0.596	1.0
0.910284	0.356	0.596	1.0
0.920747	0.356	0.596	1.0
0.931210	0.356	0.599	1.0
0.941674	0.355	0.598	1.0
0.952137	0.356	0.598	1.0
0.962600	0.356	0.595	1.0
0.973063	0.355	0.594	1.0
0.983526	0.355	0.596	1.0
0.993989	0.320	0.604	1.0
1.004452	0.262	0.610	0.98999999999999999
1.014915	0.250	0.616	1.0
1.025378	0.249	0.615	1.0
1.035841	0.247	0.612	1.0
1.046304	0.247	0.613	1.0
1.056767	0.247	0.616	1.0
1.067230	0.247	0.618	1.0
1.077693	0.249	0.620	1.0
1.088156	0.248	0.620	1.0
1.098619	0.247	0.621	1.0
1.109082	0.247	0.620	1.0
1.119545	0.248	0.617	1.0
1.130008	0.247	0.617	1.0
1.140471	0.247	0.620	1.0
1.150934	0.249	0.617	1.0
1.161397	0.248	0.617	1.0
1.171860	0.248	0.617	1.0
1.182323	0.248	0.617	1.0
1.192786	0.249	0.618	1.0
1.203250	0.236	0.614	1.0
1.213713	0.230	0.613	1.0
1.224176	0.233	0.611	1.0
1.234639	0.233	0.610	1.0
1.245102	0.232	0.609	1.0
1.255565	0.233	0.610	1.0
1.266028	0.234	0.612	1.0
1.276491	0.233	0.611	1.0
1.286954	0.235	0.609	1.0
1.297417	0.234	0.606	1.0
1.307880	0.235	0.607	1.0
1.318343	0.235	0.607	1.0
1.328806	0.236	0.608	1.0
1.339269	0.236	0.608	1.0
1.349732	0.236	0.607	1.0
1.360195	0.236	0.607	1.0
1.370658	0.237	0.606	1.0
1.381121	0.235	0.607	1.0
1.391584	0.237	0.610	1.0
1.402047	0.236	0.609	1.0
1.412510	0.236	0.608	1.0
1.422973	0.235	0.607	1.0
1.433436	0.234	0.608	1.0
1.443899	0.232	0.611	1.0
1.454362	0.233	0.608	1.0
1.464826	0.234	0.609	1.0
1.475289	0.233	0.609	1.0
1.485752	0.260	0.604	1.0
1.496215	0.320	0.599	0.98999999999999999
1.506678	0.332	0.589	1.0
1.517141	0.331	0.589	1.0
1.527604	0.331	0.590	1.0
1.538067	0.332	0.591	1.0
1.548530	0.332	0.593	1.0
1.558993	0.332	0.596	1.0
1.569456	0.333	0.595	1.0
1.579919	0.334	0.596	1.0
1.590382	0.333	0.596	1.0
1.600845	0.332	0.595	1.0
1.611308	0.332	0.595	1.0
1.621771	0.333	0.595	1.0
1.632234	0.332	0.595	1.0
1.642697	0.333	0.593	1.0
1.653160	0.332	0.594	1.0
1.663623	0.332	0.592	1.0
1.674086	0.331	0.593	1.0
1.684549	0.331	0.597	1.0
1.695012	0.331	0.599	1.0
1.705475	0.331	0.600	1.0
1.715938	0.331	0.597	1.0
1.726402	0.332	0.598	1.0
1.736865	0.332	0.601	1.0
1.747328	0.332	0.602	1.0
1.757791	0.332	0.602	1.0
1.768254	0.333	0.603	1.0
1.778717	0.333	0.601	1.0
1.789180	0.332	0.602	1.0
1.799643	0.332	0.601	1.0
1.810106	0.331	0.601	1.0
1.820569	0.330	0.603	1.0
1.831032	0.331	0.603	1.0
1.841495	0.331	0.602	1.0
1.851958	0.331	0.603	1.0
1.862421	0.320	0.609	1.0
1.872884	0.294	0.616	1.0
1.883347	0.285	0.617	1.0
1.893810	0.286	0.619	1.0
1.904273	0.286	0.616	1.0
1.914736	0.287	0.614	1.0
1.925199	0.286	0.615	1.0
1.935662	0.285	0.614	1.0
1.946125	0.286	0.617	1.0
1.956588	0.286	0.620	1.0
1.967051	0.285	0.618	1.0
1.977514	0.285	0.616	1.0
1.987978	0.284	0.616	1.0
1.998441	0.285	0.618	1.0
2.008904	0.286	0.619	1.0
2.019367	0.285	0.620	1.0
2.029830	0.286	0.620	1.0
2.040293	0.286	0.618	1.0
2.050756	0.284	0.618	1.0
2.061219	0.286	0.619	1.0
2.071682	0.285	0.618	1.0
2.082145	0.285	0.620	1.0
2.092608	0.286	0.622	1.0
2.103071	0.285	0.621	1.0
2.113534	0.285	0.621	1.0
2.123997	0.286	0.620	1.0
2.134460	0.287	0.618	1.0
2.144923	0.286	0.618	1.0
2.155386	0.272	0.617	1.0
2.165849	0.263	0.615	1.0
2.176312	0.265	0.614	1.0
2.186775	0.265	0.612	1.0
2.197238	0.266	0.611	1.0
2.207701	0.266	0.612	1.0
2.218164	0.267	0.610	1.0
2.228627	0.267	0.609	1.0
2.239090	0.268	0.609	1.0
2.249554	0.268	0.608	1.0
2.260017	0.268	0.609	1.0
2.270480	0.268	0.610	1.0
2.280943	0.267	0.612	1.0
2.291406	0.267	0.612	1.0
2.301869	0.266	0.609	1.0
2.312332	0.265	0.608	1.0
2.322795	0.264	0.611	1.0
2.333258	0.263	0.615	1.0
2.343721	0.263	0.619	1.0
2.354184	0.264	0.620	1.0
2.364647	0.262	0.620	1.0
2.375110	0.263	0.617	1.0
2.385573	0.261	0.616	1.0
2.396036	0.269	0.617	1.0
2.406499	0.305	0.604	1.0
2.416962	0.330	0.607	1.0
2.427425	0.327	0.607	1.0
2.437888	0.327	0.606	1.0
2.448351	0.326	0.606	1.0
2.458814	0.325	0.607	1.0
2.469277	0.325	0.609	1.0
2.479740	0.325	0.612	1.0
2.490203	0.325	0.614	1.0
2.500666	0.324	0.616	1.0
2.511130	0.323	0.615	1.0
2.521593	0.322	0.616	1.0
2.532056	0.321	0.617	1.0
2.542519	0.322	0.616	1.0
2.552982	0.322	0.616	1.0
2.563445	0.321	0.616	1.0
2.573908	0.321	0.614	1.0
2.584371	0.321	0.614	1.0
2.594834	0.320	0.615	1.0
2.605297	0.321	0.614	1.0
2.615760	0.321	0.614	1.0
2.626223	0.321	0.613	1.0
2.636686	0.320	0.615	1.0
2.647149	0.320	0.615	1.0
2.657612	0.322	0.617	1.0
2.668075	0.321	0.617	1.0
2.678538	0.336	0.615	1.0
2.689001	0.365	0.606	1.0
2.699464	0.369	0.603	1.0
2.709927	0.368	0.603	1.0
2.720390	0.368	0.603	1.0
2.730853	0.366	0.602	1.0
2.741316	0.367	0.602	1.0
2.751779	0.368	0.601	1.0
2.762242	0.367	0.599	1.0
2.772706	0.366	0.599	1.0
2.783169	0.367	0.600	1.0
2.793632	0.367	0.602	1.0
2.804095	0.366	0.599	1.0
2.814558	0.367	0.598	1.0
2.825021	0.367	0.598	1.0
2.835484	0.367	0.598	1.0
2.845947	0.367	0.599	1.0
2.856410	0.367	0.598	1.0
2.866873	0.368	0.601	1.0
2.877336	0.367	0.600	1.0
2.887799	0.366	0.599	1.0
2.898262	0.366	0.599	1.0
2.908725	0.364	0.600	1.0
2.919188	0.365	0.600	1.0
2.929651	0.365	0.597	1.0
2.940114	0.380	0.594	1.0
2.950577	0.431	0.590	0.98999999999999999
2.961040	0.451	0.582	1.0
2.971503	0.452	0.579	1.0
2.981966	0.452	0.582	1.0
2.992429	0.452	0.584	1.0
3.002892	0.455	0.588	1.0
3.013355	0.453	0.588	1.0
3.023818	0.452	0.589	1.0
3.034282	0.452	0.589	1.0
3.044745	0.452	0.593	1.0
3.055208	0.451	0.594	1.0
3.065671	0.450	0.597	1.0
3.076134	0.450	0.598	1.0
3.086597	0.449	0.596	1.0
3.097060	0.447	0.596	1.0
3.107523	0.447	0.595	1.0
3.117986	0.448	0.594	1.0
3.128449	0.449	0.594	1.0
3.138912	0.448	0.595	1.0
3.149375	0.449	0.594	1.0
3.159838	0.450	0.596	1.0
3.170301	0.450	0.595	1.0
3.180764	0.449	0.597	1.0
3.191227	0.449	0.597	1.0
3.201690	0.448	0.598	1.0
3.212153	0.449	0.597	1.0
3.222616	0.448	0.595	1.0
3.233079	0.449	0.592	1.0
3.243542	0.449	0.594	1.0
3.254005	0.449	0.594	1.0
3.264468	0.450	0.594	1.0
3.274931	0.450	0.595	1.0
3.285394	0.451	0.595	1.0
3.295858	0.451	0.593	1.0
3.306321	0.451	0.591	1.0
3.316784	0.452	0.592	1.0
