time	bloc	trial	event
0.007982	1	1	TRIAL_START
6.014058	1	1	TRIAL_END
6.518034	1	2	TRIAL_START
83.811004	1	2	TRIAL_END
84.340491	1	3	TRIAL_START
86.624737	1	3	RESPONSE
86.624982	1	3	CONSEQUENCE
86.816890	1	3	RESPONSE
86.992708	1	3	RESPONSE
87.160727	1	3	RESPONSE
87.376674	1	3	RESPONSE
87.568729	1	3	RESPONSE
87.569188	1	3	CONSEQUENCE
89.024699	1	3	RESPONSE
89.024970	1	3	CONSEQUENCE
89.200700	1	3	RESPONSE
89.344892	1	3	RESPONSE
89.656668	1	3	RESPONSE
89.800732	1	3	RESPONSE
89.968695	1	3	RESPONSE
89.969083	1	3	CONSEQUENCE
90.144706	1	3	RESPONSE
90.328684	1	3	RESPONSE
90.512754	1	3	RESPONSE
90.680683	1	3	RESPONSE
90.840684	1	3	RESPONSE
90.840958	1	3	CONSEQUENCE
90.984666	1	3	RESPONSE
91.184660	1	3	RESPONSE
91.408692	1	3	RESPONSE
91.584664	1	3	RESPONSE
91.768674	1	3	RESPONSE
91.768957	1	3	CONSEQUENCE
91.960685	1	3	RESPONSE
92.136744	1	3	RESPONSE
92.336729	1	3	RESPONSE
92.512702	1	3	RESPONSE
92.712656	1	3	RESPONSE
92.712907	1	3	CONSEQUENCE
92.904863	1	3	RESPONSE
93.088665	1	3	RESPONSE
93.280690	1	3	RESPONSE
93.672704	1	3	RESPONSE
93.673000	1	3	CONSEQUENCE
93.864755	1	3	RESPONSE
94.048669	1	3	RESPONSE
94.248671	1	3	RESPONSE
94.440665	1	3	RESPONSE
94.632693	1	3	RESPONSE
94.632944	1	3	CONSEQUENCE
94.840824	1	3	RESPONSE
95.032675	1	3	RESPONSE
95.224851	1	3	RESPONSE
95.376652	1	3	RESPONSE
95.536700	1	3	RESPONSE
95.537120	1	3	CONSEQUENCE
95.712701	1	3	RESPONSE
95.880750	1	3	RESPONSE
96.064729	1	3	RESPONSE
