time	bloc	trial	event
-0.000604	1	1	TRIAL_START
6.001750	1	1	TRIAL_END
6.503600	1	2	TRIAL_START
66.135390	1	2	TRIAL_END
66.661268	1	3	TRIAL_START
69.585763	1	3	RESPONSE
69.587131	1	3	CONSEQUENCE
69.809675	1	3	RESPONSE
70.025862	1	3	RESPONSE
70.225717	1	3	RESPONSE
70.417685	1	3	RESPONSE
70.417961	1	3	CONSEQUENCE
70.593687	1	3	RESPONSE
70.769789	1	3	RESPONSE
70.929703	1	3	RESPONSE
71.073694	1	3	RESPONSE
71.217727	1	3	RESPONSE
71.217988	1	3	CONSEQUENCE
71.361709	1	3	RESPONSE
71.489685	1	3	RESPONSE
71.657684	1	3	RESPONSE
71.785700	1	3	RESPONSE
71.938165	1	3	RESPONSE
72.081707	1	3	RESPONSE
72.081942	1	3	CONSEQUENCE
72.241803	1	3	RESPONSE
72.385699	1	3	RESPONSE
72.553699	1	3	RESPONSE
72.705753	1	3	RESPONSE
72.849679	1	3	RESPONSE
73.009723	1	3	RESPONSE
73.009965	1	3	CONSEQUENCE
73.185679	1	3	RESPONSE
73.329725	1	3	RESPONSE
73.537830	1	3	RESPONSE
73.697713	1	3	RESPONSE
73.889677	1	3	RESPONSE
73.889934	1	3	CONSEQUENCE
74.049756	1	3	RESPONSE
74.242015	1	3	RESPONSE
74.417704	1	3	RESPONSE
74.593764	1	3	RESPONSE
74.777715	1	3	RESPONSE
74.777955	1	3	CONSEQUENCE
74.977773	1	3	RESPONSE
75.185723	1	3	RESPONSE
75.409696	1	3	RESPONSE
75.641794	1	3	RESPONSE
75.642140	1	3	CONSEQUENCE
75.849704	1	3	RESPONSE
76.041710	1	3	RESPONSE
76.265815	1	3	RESPONSE
86.678498	1	3	TRIAL_END
87.182450	1	4	TRIAL_START
93.185263	1	4	TRIAL_END
93.689208	1	5	TRIAL_START
99.689872	1	5	TRIAL_END
100.192428	1	6	TRIAL_START
103.194509	1	6	TRIAL_END
103.698591	1	7	TRIAL_START
104.703944	1	7	TRIAL_END
105.206712	1	8	TRIAL_START
106.210502	1	8	TRIAL_END
106.714664	1	9	TRIAL_START
107.720113	1	9	TRIAL_END
108.231147	2	10	TRIAL_START
109.201785	2	10	RESPONSE
109.449908	2	10	RESPONSE
109.649773	2	10	RESPONSE
109.849795	2	10	RESPONSE
110.097812	2	10	RESPONSE
110.305831	2	10	RESPONSE
110.529856	2	10	RESPONSE
110.761870	2	10	RESPONSE
112.238484	2	10	TRIAL_END
112.239429	2	10	CONSEQUENCE
112.239595	2	10	HIT
113.241910	2	11	IET R
117.247398	2	11	TRIAL_START
118.313820	2	11	RESPONSE
118.522207	2	11	RESPONSE
118.913842	2	11	RESPONSE
121.249811	2	11	TRIAL_END
121.250806	2	11	MISS
126.275171	2	12	TRIAL_START
127.297860	2	12	RESPONSE
127.585908	2	12	RESPONSE
127.849839	2	12	RESPONSE
130.288123	2	12	TRIAL_END
130.288948	2	12	CONSEQUENCE
130.289173	2	12	HIT
135.309212	2	13	TRIAL_START
136.329844	2	13	RESPONSE
136.657878	2	13	RESPONSE
136.857863	2	13	RESPONSE
137.081981	2	13	RESPONSE
137.273874	2	13	RESPONSE
137.474051	2	13	RESPONSE
137.673904	2	13	RESPONSE
137.905978	2	13	RESPONSE
138.161867	2	13	RESPONSE
138.401919	2	13	RESPONSE
139.313554	2	13	TRIAL_END
139.314228	2	13	CONSEQUENCE
139.314397	2	13	HIT
144.324657	2	14	TRIAL_START
145.353993	2	14	RESPONSE
145.585892	2	14	RESPONSE
145.785938	2	14	RESPONSE
145.977972	2	14	RESPONSE
146.186356	2	14	RESPONSE
146.441949	2	14	RESPONSE
148.327824	2	14	TRIAL_END
148.328404	2	14	MISS
153.335989	2	15	TRIAL_START
156.457917	2	15	RESPONSE
156.705986	2	15	RESPONSE
156.954028	2	15	RESPONSE
157.273964	2	15	RESPONSE
157.336465	2	15	TRIAL_END
157.337076	2	15	CONSEQUENCE
157.337201	2	15	HIT
162.366166	2	16	TRIAL_START
163.922043	2	16	RESPONSE
164.154002	2	16	RESPONSE
164.497943	2	16	RESPONSE
166.376398	2	16	TRIAL_END
166.377160	2	16	MISS
171.402071	2	17	TRIAL_START
172.922117	2	17	RESPONSE
173.178302	2	17	RESPONSE
173.561967	2	17	RESPONSE
175.406491	2	17	TRIAL_END
175.407011	2	17	CONSEQUENCE
175.407125	2	17	HIT
180.423970	2	18	TRIAL_START
183.154112	2	18	RESPONSE
183.393983	2	18	RESPONSE
183.634048	2	18	RESPONSE
183.906041	2	18	RESPONSE
184.426770	2	18	TRIAL_END
184.427306	2	18	MISS
